# File Name: 2023-11-14_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-11-14 05:24:18 PM EST
# Run End Data/Time: 2023-11-14 06:23:09 PM EST
# Run Duration: 58 minutes 51 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 03:56:57 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 03:57:10 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","PMMoV","0.34851452708244324","-0.014292809595797635","PR-231026-DNI-R1","FALSE"
"1","A1","2","PMMoV","0.3520064353942871","-0.013233738981820382","PR-231026-DNI-R1","FALSE"
"1","A1","3","PMMoV","0.35992175340652466","-0.007751258667449508","PR-231026-DNI-R1","FALSE"
"1","A1","4","PMMoV","0.3663656413555145","-0.0037402084163263138","PR-231026-DNI-R1","FALSE"
"1","A1","5","PMMoV","0.3719409704208374","-5.977170488700567E-4","PR-231026-DNI-R1","FALSE"
"1","A1","6","PMMoV","0.37594062089920044","9.690957316263061E-4","PR-231026-DNI-R1","FALSE"
"1","A1","7","PMMoV","0.3796130120754242","0.002208649209983442","PR-231026-DNI-R1","FALSE"
"1","A1","8","PMMoV","0.38304921984672546","0.0032120192834180373","PR-231026-DNI-R1","FALSE"
"1","A1","9","PMMoV","0.38615405559539795","0.0038840173342238483","PR-231026-DNI-R1","FALSE"
"1","A1","10","PMMoV","0.38839173316955566","0.0036888572105149443","PR-231026-DNI-R1","FALSE"
"1","A1","11","PMMoV","0.39051127433776855","0.0033755606808611605","PR-231026-DNI-R1","FALSE"
"1","A1","12","PMMoV","0.3915036618709564","0.0019351105161823524","PR-231026-DNI-R1","FALSE"
"1","A1","13","PMMoV","0.39364662766456604","0.0016452386119253527","PR-231026-DNI-R1","FALSE"
"1","A1","14","PMMoV","0.3946567177772522","2.2249102674483552E-4","PR-231026-DNI-R1","FALSE"
"1","A1","15","PMMoV","0.3968175947666168","-4.946968175721482E-5","PR-231026-DNI-R1","FALSE"
"1","A1","16","PMMoV","0.39830535650253296","-9.94545643707696E-4","PR-231026-DNI-R1","FALSE"
"1","A1","17","PMMoV","0.3996196389198303","-0.002113100924277007","PR-231026-DNI-R1","FALSE"
"1","A1","18","PMMoV","0.40158697962760925","-0.0025785979143647508","PR-231026-DNI-R1","FALSE"
"1","A1","19","PMMoV","0.4037516117095947","-0.002846803530245896","PR-231026-DNI-R1","FALSE"
"1","A1","20","PMMoV","0.40856191515922546","-4.6933777848183304E-4","PR-231026-DNI-R1","FALSE"
"1","A1","21","PMMoV","0.4177000820636749","0.0062359914281009555","PR-231026-DNI-R1","FALSE"
