# File Name: 2023-11-17_PMMoV_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2023-11-17 05:02:20 PM EST
# Run End Data/Time: 2023-11-17 06:02:43 PM EST
# Run Duration: 60 minutes 22 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 03:59:00 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 03:59:07 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-231108-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1331953375397974","","","22.508258768508334","0.8679146782286621","22.484149065046125","0.02105742591507209","FALSE","0.04","TRUE","3","19"
"2","A2","FALSE","PR-231108-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1379525643926016","","","22.469363492676784","0.854181345065504","22.484149065046125","0.02105742591507209","FALSE","0.04","TRUE","3","19"
"3","A3","FALSE","PR-231108-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1400671950317","","","22.474824933953265","0.852169831913627","22.484149065046125","0.02105742591507209","FALSE","0.04","TRUE","3","19"
"4","A4","FALSE","PR-231113-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1365153387641138","","","22.925127808910716","0.8484849260035818","22.801300969553708","0.10848413711571171","FALSE","0.04","TRUE","3","20"
"5","A5","FALSE","PR-231113-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1366641737545133","","","22.755788568039513","0.8482869130285409","22.801300969553708","0.10848413711571171","FALSE","0.04","TRUE","3","20"
"6","A6","FALSE","PR-231113-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.142788969213721","","","22.722986531710895","0.8492173045085915","22.801300969553708","0.10848413711571171","FALSE","0.04","TRUE","3","19"
"7","A7","FALSE","PR-231114-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1460140390873355","","","22.44364122440767","0.8505566034751696","22.33128625625585","0.169640315780731","FALSE","0.04","TRUE","3","19"
"8","A8","FALSE","PR-231114-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1469694909941432","","","22.414069585314017","0.8521466547695596","22.33128625625585","0.169640315780731","FALSE","0.04","TRUE","3","19"
"9","A9","FALSE","PR-231114-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.138445240697855","","","22.136147959045864","0.8520524843244717","22.33128625625585","0.169640315780731","FALSE","0.04","TRUE","3","19"
"10","A10","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1395735781663667","","","19.5781116117993","0.8400182068835911","19.64764000525282","0.06400915110514231","FALSE","0.04","TRUE","3","17"
"11","A11","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.131494632596479","","","19.704118789313448","0.8512557468525306","19.64764000525282","0.06400915110514231","FALSE","0.04","TRUE","3","16"
"12","A12","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1261813162331185","","","19.66068961464571","0.8570346426681337","19.64764000525282","0.06400915110514231","FALSE","0.04","TRUE","3","16"
"13","B1","FALSE","PR-231108-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.131863549610941","","","23.324948712714622","0.9109107430087543","23.4058398070497","0.07024526334045994","FALSE","0.04","TRUE","3","20"
"14","B2","FALSE","PR-231108-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1395776276549565","","","23.451468998216868","0.9119288607184511","23.4058398070497","0.07024526334045994","FALSE","0.04","TRUE","3","20"
"15","B3","FALSE","PR-231108-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1397039745911381","","","23.441101710217595","0.9062440472025306","23.4058398070497","0.07024526334045994","FALSE","0.04","TRUE","3","20"
"16","B4","FALSE","PR-231113-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1412319928085575","","","22.678438746174223","0.8511936675001756","22.550728369683537","0.1324857324328407","FALSE","0.04","TRUE","3","20"
"17","B5","FALSE","PR-231113-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.142697045525389","","","22.559811608216172","0.8494561298005173","22.550728369683537","0.1324857324328407","FALSE","0.04","TRUE","3","19"
"18","B6","FALSE","PR-231113-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1491669065289123","","","22.413934754660204","0.8499831429057321","22.550728369683537","0.1324857324328407","FALSE","0.04","TRUE","3","19"
"19","B7","FALSE","PR-231114-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1431856289753726","","","22.894750143113107","0.8555353399738359","22.979987063984186","0.09577431528863337","FALSE","0.04","TRUE","3","20"
"20","B8","FALSE","PR-231114-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1433709305954918","","","22.96158323374459","0.855827225196192","22.979987063984186","0.09577431528863337","FALSE","0.04","TRUE","3","20"
"21","B9","FALSE","PR-231114-DSI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1389284056837463","","","23.083627815094864","0.8594969323706658","22.979987063984186","0.09577431528863337","FALSE","0.04","TRUE","3","20"
"22","B10","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.138043947948572","","","21.931569295058388","0.8597716157412275","21.948827761006328","0.030170697306567545","FALSE","0.04","TRUE","3","19"
"23","B11","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1332224599067202","","","21.98366538940889","0.8611203393556641","21.948827761006328","0.030170697306567545","FALSE","0.04","TRUE","3","19"
"24","B12","FALSE","80000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1310728964112462","","","21.931248598551697","0.8640017132872511","21.948827761006328","0.030170697306567545","FALSE","0.04","TRUE","3","19"
"25","C1","FALSE","PR-231108-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1426799375893892","","","23.3591370020414","0.8570558623033082","23.359260218353977","0.08710782267652073","FALSE","0.04","TRUE","3","20"
"26","C2","FALSE","PR-231108-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1481748185424865","","","23.44642958382736","0.8497942944412564","23.359260218353977","0.08710782267652073","FALSE","0.04","TRUE","3","20"
"27","C3","FALSE","PR-231108-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.153818948441071","","","23.27221406919317","0.8544884230402694","23.359260218353977","0.08710782267652073","FALSE","0.04","TRUE","3","20"
"28","C4","FALSE","PR-231113-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1414074284010136","","","22.984689786300066","0.8374877893027002","22.89981970860339","0.12279632437129212","FALSE","0.04","TRUE","3","20"
"29","C5","FALSE","PR-231113-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.144867638527652","","","22.955755090680903","0.8573495250207676","22.89981970860339","0.12279632437129212","FALSE","0.04","TRUE","3","20"
"30","C6","FALSE","PR-231113-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1510605899064297","","","22.75901424882919","0.856683404012785","22.89981970860339","0.12279632437129212","FALSE","0.04","TRUE","3","19"
"31","C7","FALSE","PR-231114-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.152774840452497","","","22.40648344574756","0.8594873778053084","22.48113274773228","0.07707267024742562","FALSE","0.04","TRUE","3","19"
"32","C8","FALSE","PR-231114-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1522954477442515","","","22.4764954185039","0.8603006717025328","22.48113274773228","0.07707267024742562","FALSE","0.04","TRUE","3","19"
"33","C9","FALSE","PR-231114-DCS-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1502631625862065","","","22.56041937894537","0.8639805135490497","22.48113274773228","0.07707267024742562","FALSE","0.04","TRUE","3","19"
"34","C10","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1398744638064273","","","24.16450737038579","0.8586061498215118","24.400405196011036","0.2284196420293013","FALSE","0.04","TRUE","3","21"
"35","C11","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1459557902976787","","","24.416179284313635","0.865292464753651","24.400405196011036","0.2284196420293013","FALSE","0.04","TRUE","3","21"
"36","C12","FALSE","8000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1387418343735844","","","24.620528933333688","0.8660231767271321","24.400405196011036","0.2284196420293013","FALSE","0.04","TRUE","3","21"
"37","D1","FALSE","PR-231108-BST-Reg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.138833876677135","","","21.78250200039085","0.8508844351923742","21.624040954882418","0.15286169075540904","FALSE","0.04","TRUE","3","18"
"38","D2","FALSE","PR-231108-BST-Reg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.149319814704389","","","21.61214741522879","0.8524293859623475","21.624040954882418","0.15286169075540904","FALSE","0.04","TRUE","3","18"
"39","D3","FALSE","PR-231108-BST-Reg-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.150691681795372","","","21.477473449027606","0.8499479724277755","21.624040954882418","0.15286169075540904","FALSE","0.04","TRUE","3","18"
"40","D4","FALSE","PR-231113-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.135364241921607","","","21.223592781130513","0.8521311873583813","21.251840353102033","0.056556265583922745","FALSE","0.04","TRUE","3","18"
"41","D5","FALSE","PR-231113-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1415718991927335","","","21.316955973581166","0.8481955809905041","21.251840353102033","0.056556265583922745","FALSE","0.04","TRUE","3","18"
"42","D6","FALSE","PR-231113-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1392523050595258","","","21.21497230459442","0.8474307180077668","21.251840353102033","0.056556265583922745","FALSE","0.04","TRUE","3","18"
"43","D7","FALSE","PR-231114-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1454107396730204","","","22.125184687336834","0.8602313669488578","22.117084147909868","0.028535023075845573","FALSE","0.04","TRUE","3","19"
"44","D8","FALSE","PR-231114-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1478158454039111","","","22.08537463945369","0.8587046059112657","22.117084147909868","0.028535023075845573","FALSE","0.04","TRUE","3","19"
"45","D9","FALSE","PR-231114-BST-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1463857956298666","","","22.140693116939083","0.8617416911837484","22.117084147909868","0.028535023075845573","FALSE","0.04","TRUE","3","19"
"46","D10","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1493005199709718","","","26.639428729350065","0.8712160619034324","26.893855382499037","0.2224500051706753","FALSE","0.04","TRUE","3","23"
"47","D11","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1407742550273352","","","26.990502168121786","0.8682412601269474","26.893855382499037","0.2224500051706753","FALSE","0.04","TRUE","3","24"
"48","D12","FALSE","800.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1291979196637536","","","27.051635250025264","0.9149706608349188","26.893855382499037","0.2224500051706753","FALSE","0.04","TRUE","3","24"
"49","E1","FALSE","PR-231108-BST-HCL-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1379663806534825","","","21.80381643742436","0.851994148608877","21.891049522600678","0.08301879749672686","FALSE","0.04","TRUE","3","19"
"50","E2","FALSE","PR-231108-BST-HCL-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1464022513511363","","","21.900243508984573","0.8480246010220442","21.891049522600678","0.08301879749672686","FALSE","0.04","TRUE","3","19"
"51","E3","FALSE","PR-231108-BST-HCL-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1440457310861172","","","21.969088621393105","0.8496137823405074","21.891049522600678","0.08301879749672686","FALSE","0.04","TRUE","3","19"
"52","E4","FALSE","PR-231113-BST-R2","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1382000268340888","","","20.991496088718215","0.8489693556970228","20.943913071260276","0.07413350987239646","FALSE","0.04","TRUE","3","18"
"53","E5","FALSE","PR-231113-BST-R2","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1391404597219026","","","20.981746797810587","0.8518555548293836","20.943913071260276","0.07413350987239646","FALSE","0.04","TRUE","3","18"
"54","E6","FALSE","PR-231113-BST-R2","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1432080850183095","","","20.858496327252027","0.8466805191040865","20.943913071260276","0.07413350987239646","FALSE","0.04","TRUE","3","18"
"55","E7","FALSE","PR-231114-BST-R2","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1557255218661984","","","21.45112470110081","0.8515588077064334","21.49091391109106","0.038603122332242064","FALSE","0.04","TRUE","3","18"
"56","E8","FALSE","PR-231114-BST-R2","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.15338915423138","","","21.528210100212924","0.8576171175573614","21.49091391109106","0.038603122332242064","FALSE","0.04","TRUE","3","18"
"57","E9","FALSE","PR-231114-BST-R2","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.1543045644916268","","","21.49340693195944","0.8603674182031331","21.49091391109106","0.038603122332242064","FALSE","0.04","TRUE","3","18"
"58","E10","FALSE","80.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1477137344603872","","","29.735321223136893","0.8639261016282321","30.407434294177506","0.5821257810277028","FALSE","0.04","TRUE","3","26"
"59","E11","FALSE","80.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.1478600043261988","","","30.751763661090642","0.8590297773050284","30.407434294177506","0.5821257810277028","FALSE","0.04","TRUE","3","27"
"60","E12","FALSE","80.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.144016560162137","","","30.73521799830499","0.8615076163218198","30.407434294177506","0.5821257810277028","FALSE","0.04","TRUE","3","27"
