# File Name: 2024-02-23_Cov2_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-02-23 02:34:11 PM EST
# Run End Data/Time: 2024-02-23 03:35:21 PM EST
# Run Duration: 61 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:05:10 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:05:15 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-221218-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3296769757414202","","","28.486901612258883","0.9818883819186549","28.22517738750268","0.24115675673852738","FALSE","0.12","TRUE","3","23"
"2","A2","FALSE","PR-221218-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3417708493577123","","","28.011962959112658","0.9861671434115697","28.22517738750268","0.24115675673852738","FALSE","0.12","TRUE","3","23"
"3","A3","FALSE","PR-221218-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3400330440171901","","","28.176667591136486","0.9900004116151885","28.22517738750268","0.24115675673852738","FALSE","0.12","TRUE","3","23"
"4","A4","FALSE","PR-231219-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3385349796407067","","","30.575366766555817","0.9916591369614443","30.523932167844197","0.1003066375265009","FALSE","0.12","TRUE","3","26"
"5","A5","FALSE","PR-231219-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.332562195815545","","","30.588088574728623","0.9898915985892575","30.523932167844197","0.1003066375265009","FALSE","0.12","TRUE","3","25"
"6","A6","FALSE","PR-231219-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3377781745701651","","","30.408341162248156","0.990065303469597","30.523932167844197","0.1003066375265009","FALSE","0.12","TRUE","3","25"
"7","A7","FALSE","PR-231220-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.348124271106271","","","29.87855258597319","0.992670786433102","29.514676376752522","0.3737293352496293","FALSE","0.12","TRUE","3","25"
"8","A8","FALSE","PR-231220-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.339633032866003","","","29.53365913790489","0.9915928595596317","29.514676376752522","0.3737293352496293","FALSE","0.12","TRUE","3","25"
"9","A9","FALSE","PR-231220-DNI-R1","Cov2","UNKNOWN","FAM","NFQ-MGB","AMP","1.3429902519193135","","","29.131817406379483","0.9920080069623465","29.514676376752522","0.3737293352496293","FALSE","0.12","TRUE","3","24"
"10","A10","FALSE","10000.0","Cov2","STANDARD","FAM","NFQ-MGB","AMP","1.3335313132249154","","","23.797493971285057","0.9957548724193542","23.83417036065008","0.09149531794425755","FALSE","0.12","TRUE","3","19"
