# File Name: DEC_PMMoV_REDO_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-03-15 11:37:54 AM EDT
# Run End Data/Time: 2024-03-15 12:35:56 PM EDT
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:13:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:13:43 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","PMMoV","0.2652498483657837","-0.012201492293085247","PR-221204-DNI-R1","FALSE"
"1","A1","2","PMMoV","0.2674778997898102","-0.011889401019788236","PR-221204-DNI-R1","FALSE"
"1","A1","3","PMMoV","0.273238867521286","-0.00804439343904194","PR-221204-DNI-R1","FALSE"
"1","A1","4","PMMoV","0.27977532148361206","-0.003423899627445425","PR-221204-DNI-R1","FALSE"
"1","A1","5","PMMoV","0.284832239151001","-2.829421107859874E-4","PR-221204-DNI-R1","FALSE"
"1","A1","6","PMMoV","0.28771233558654785","6.811941740313533E-4","PR-221204-DNI-R1","FALSE"
"1","A1","7","PMMoV","0.2910051643848419","0.002058062821595886","PR-221204-DNI-R1","FALSE"
"1","A1","8","PMMoV","0.2941175699234009","0.0032545082094253674","PR-221204-DNI-R1","FALSE"
"1","A1","9","PMMoV","0.29603075981140137","0.0032517379466963214","PR-221204-DNI-R1","FALSE"
"1","A1","10","PMMoV","0.2978135347366333","0.0031185527211987207","PR-221204-DNI-R1","FALSE"
"1","A1","11","PMMoV","0.3001896142959595","0.0035786721297954138","PR-221204-DNI-R1","FALSE"
"1","A1","12","PMMoV","0.30141639709472656","0.0028894947778329693","PR-221204-DNI-R1","FALSE"
"1","A1","13","PMMoV","0.302581787109375","0.0021389246417518725","PR-221204-DNI-R1","FALSE"
"1","A1","14","PMMoV","0.30300796031951904","6.491377011664369E-4","PR-221204-DNI-R1","FALSE"
"1","A1","15","PMMoV","0.3036383092403412","-6.364735287409538E-4","PR-221204-DNI-R1","FALSE"
"1","A1","16","PMMoV","0.3050597012042999","-0.0011310417155116924","PR-221204-DNI-R1","FALSE"
"1","A1","17","PMMoV","0.3061409294605255","-0.001965773610015641","PR-221204-DNI-R1","FALSE"
"1","A1","18","PMMoV","0.30772507190704346","-0.002297591314227231","PR-221204-DNI-R1","FALSE"
"1","A1","19","PMMoV","0.30942729115486145","-0.0025113322171387165","PR-221204-DNI-R1","FALSE"
"1","A1","20","PMMoV","0.31252774596214294","-0.0013268375605867565","PR-221204-DNI-R1","FALSE"
"1","A1","21","PMMoV","0.3191992938518524","0.0034287501783931817","PR-221204-DNI-R1","FALSE"
"1","A1","22","PMMoV","0.3302968740463257","0.01261037022213697","PR-221204-DNI-R1","FALSE"
"1","A1","23","PMMoV","0.3505718410015106","0.030969377026592373","PR-221204-DNI-R1","FALSE"
"1","A1","24","PMMoV","0.3842294216156006","0.0627109974899528","PR-221204-DNI-R1","FALSE"
"1","A1","25","PMMoV","0.4333319365978241","0.10989755232144684","PR-221204-DNI-R1","FALSE"
"1","A1","26","PMMoV","0.49769526720046997","0.17234492277336316","PR-221204-DNI-R1","FALSE"
"1","A1","27","PMMoV","0.5730646848678589","0.24579838029002254","PR-221204-DNI-R1","FALSE"
"1","A1","28","PMMoV","0.6524434089660645","0.32326114423749863","PR-221204-DNI-R1","FALSE"
"1","A1","29","PMMoV","0.7303414344787598","0.3992432095994644","PR-221204-DNI-R1","FALSE"
"1","A1","30","PMMoV","0.7994047999382019","0.466390614908177","PR-221204-DNI-R1","FALSE"
"1","A1","31","PMMoV","0.8569304943084717","0.5220003491277173","PR-221204-DNI-R1","FALSE"
"1","A1","32","PMMoV","0.9027841091156006","0.5659380037841167","PR-221204-DNI-R1","FALSE"
"1","A1","33","PMMoV","0.9384203553199768","0.5996582898377635","PR-221204-DNI-R1","FALSE"
"1","A1","34","PMMoV","0.9689508676528931","0.6282728420199503","PR-221204-DNI-R1","FALSE"
"1","A1","35","PMMoV","0.9942957162857056","0.6517017305020332","PR-221204-DNI-R1","FALSE"
"1","A1","36","PMMoV","1.0174760818481445","0.6729661359137427","PR-221204-DNI-R1","FALSE"
"1","A1","37","PMMoV","1.0370113849639893","0.6905854788788578","PR-221204-DNI-R1","FALSE"
"1","A1","38","PMMoV","1.055312991142273","0.706971124906412","PR-221204-DNI-R1","FALSE"
"1","A1","39","PMMoV","1.0720970630645752","0.7218392366779848","PR-221204-DNI-R1","FALSE"
"1","A1","40","PMMoV","1.085317850112915","0.7331440635755951","PR-221204-DNI-R1","FALSE"
"2","A2","1","PMMoV","0.26351121068000793","-0.014563120678605442","PR-221204-DNI-R1","FALSE"
"2","A2","2","PMMoV","0.2659360468387604","-0.014327910600924039","PR-221204-DNI-R1","FALSE"
"2","A2","3","PMMoV","0.2735001742839813","-0.00895340923677413","PR-221204-DNI-R1","FALSE"
"2","A2","4","PMMoV","0.2799244523048401","-0.004718757296986404","PR-221204-DNI-R1","FALSE"
"2","A2","5","PMMoV","0.28538262844085693","-0.0014502072420405415","PR-221204-DNI-R1","FALSE"
"2","A2","6","PMMoV","0.2899366021156311","9.141403516625896E-4","PR-221204-DNI-R1","FALSE"
"2","A2","7","PMMoV","0.29440271854400635","0.003190630698966795","PR-221204-DNI-R1","FALSE"
"2","A2","8","PMMoV","0.29737213253974915","0.003970418613638554","PR-221204-DNI-R1","FALSE"
"2","A2","9","PMMoV","0.2995435893535614","0.003952249346379771","PR-221204-DNI-R1","FALSE"
"2","A2","10","PMMoV","0.30204635858535767","0.004265392497104997","PR-221204-DNI-R1","FALSE"
"2","A2","11","PMMoV","0.30409449338912964","0.0041239012198059305","PR-221204-DNI-R1","FALSE"
"2","A2","12","PMMoV","0.3054247796535492","0.0032645614031544474","PR-221204-DNI-R1","FALSE"
"2","A2","13","PMMoV","0.3066188097000122","0.002268965368546421","PR-221204-DNI-R1","FALSE"
"2","A2","14","PMMoV","0.3078252971172333","0.0012858267046965072","PR-221204-DNI-R1","FALSE"
