# File Name: DEC_PMMoV_REDO_VIC.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313154
# Instrument Serial Number: 272313154
# Heated Cover Serial Number:
# Block serial number: 21211195
# Run Start Date/Time: 2024-03-15 11:37:54 AM EDT
# Run End Data/Time: 2024-03-15 12:35:56 PM EDT
# Run Duration: 58 minutes 2 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2024-04-22 04:13:36 PM EDT
# Software Name and Version: Design & Analysis Software v2.7.0
# Plugin Name and Version: Primary Analysis v1.8.0, Standard Curve v1.7.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2024-04-22 04:13:43 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","FALSE","PR-221204-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.085870170953427","","","23.310440179585072","0.8612823796516224","23.35451161116268","0.11770813992955645","FALSE","0.04","TRUE","3","20"
"2","A2","FALSE","PR-221204-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.08542629293031","","","23.48789582444831","0.84254317216486","23.35451161116268","0.11770813992955645","FALSE","0.04","TRUE","3","20"
"3","A3","FALSE","PR-221204-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0903205755518364","","","23.265198829454654","0.8391520725151108","23.35451161116268","0.11770813992955645","FALSE","0.04","TRUE","3","20"
"4","A4","FALSE","PR-231207-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0938920393856377","","","23.946182003734705","0.8472226167809112","23.64982627492383","0.3609214451053958","FALSE","0.04","TRUE","3","21"
"5","A5","FALSE","PR-231207-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0977361072531884","","","23.755408634032065","0.8362534363936492","23.64982627492383","0.3609214451053958","FALSE","0.04","TRUE","3","21"
"6","A6","FALSE","PR-231207-DNI-R1","PMMoV","UNKNOWN","VIC","NFQ-MGB","AMP","1.0946446254786044","","","23.24788818700472","0.8323717705756852","23.64982627492383","0.3609214451053958","FALSE","0.04","TRUE","3","20"
"7","A7","FALSE",,"PMMoV","NTC","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"8","A8","FALSE",,"PMMoV","NTC","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"9","A9","FALSE",,"PMMoV","NTC","VIC","NFQ-MGB","NO_AMP","0.0","","","UNDETERMINED","0.0","","","FALSE","0.04","TRUE","3","39"
"10","A10","FALSE","800000.0","PMMoV","STANDARD","VIC","NFQ-MGB","AMP","1.083945160818921","","","19.455267486028532","0.8295015148700775","19.48389148204063","0.06339695249248264","FALSE","0.04","TRUE","3","16"
