handler,date measured,recorded sample name,processed sample name,Qubit HS RNA (ng/uL),Qubit HS dsDNA (ng/uL),dilution factor
A,2023-10-31,N,PR-231031-DNI-R1,39.6,none,1
A,2023-10-31,S,PR-231031-DSI-R1,16.4,none,1
A,2023-10-31,C,PR-231031-DCS-R1,22.5,none,1
A,2023-10-31,(-),PR-231031-NEG-R1,Low OOR,none,1
B,2023-11-01,DNI-R1,PR-231101-DNI-R1,43.5,5.61,1
B,2023-11-01,DNI-R2,PR-231101-DNI-R2,57,6.23,1
B,2023-11-01,DSI-R1,PR-231101-DSI-R1,56,5.76,1
B,2023-11-01,DSI-R2,PR-231101-DSI-R2,21,2.58,1
B,2023-11-01,DCS-R1,PR-231101-DCS-R1,53,10.9,1
B,2023-11-01,DCS-R2,PR-231101-DCS-R2,86,22.2,1
B,2023-11-01,NEG-R1,PR-231101-NEG-R1,Low OOR,Low OOR,1
B,2023-11-02,DNI-R1,PR-231102-DNI-R1,56,10.1,1
B,2023-11-02,DNI-R2,PR-231102-DNI-R2,28.6,2.64,1
B,2023-11-02,DSI-R1,PR-231102-DSI-R1,45.5,9.47,1
B,2023-11-02,DSI-R2,PR-231102-DSI-R2,28.7,4.26,1
B,2023-11-02,DCS-R1,PR-231102-DCS-R1,37.5,9.28,1
B,2023-11-02,DCS-R2,PR-231102-DCS-R2,24.5,6.59,1
B,2023-11-02,NEG-R1,PR-231102-NEG-R1,Low OOR,Low OOR,1
A,2023-11-02,20,PR-231102-BST-R1,6.15,none,1
A,2023-11-02,80,PR-231102-BST-R2,7.95,none,1
B,2023-11-03,DNI-R1,PR-231103-DNI-R1,35.1,3.25,1
B,2023-11-03,DSI-R1,PR-231103-DSI-R1,67,15,1
B,2023-11-03,DCS-R1,PR-231103-DCS-R1,27.3,4.78,1
B,2023-11-03,NEG-R1,PR-231103-NEG-R1,Low OOR,Low OOR,1
B,2023-11-03,G1A,PR-231103-BST-G1A,7.96,17.4,1
B,2023-11-03,G2A,PR-231103-BST-G2A,11.2,47,1
B,2023-11-03,G3A,PR-231103-BST-G3A,6.86,54,1
B,2023-11-03,G1B,PR-231103-BST-G1B,3.91,4.56,1
B,2023-11-03,G2B,PR-231103-BST-G2B,13.3,41,1
B,2023-11-03,G3B,PR-231103-BST-G3B,5.72,49,1
B,2023-11-06,DNI-R1,PR-231106-DNI-R1,37.6,4.61,1
B,2023-11-06,DSI-R1,PR-231106-DSI-R1,56,20.3,1
B,2023-11-06,DCS-R1,PR-231106-DCS-R1,75,24.7,1
B,2023-11-06,NEG-R1,PR-231106-NEG-R1,Low OOR,Low OOR,1
B,2023-11-06,BST-R1,PR-231106-BST-R1,7.13,54,1
B,2023-11-06,BST-R2,PR-231106-BST-R2,6.6,36.8,1
A,2023-11-07,N,PR-231107-DNI-R1,25.9,4.88,1
A,2023-11-07,S,PR-231107-DSI-R1,32.3,4.33,1
A,2023-11-07,SS,PR-231107-DCS-R1,18.7,12.4,1
A,2023-11-07,(-),PR-231107-NEG-R1,Low OOR,Low OOR,1
A,2023-11-07,B1,PR-231107-BST-R1,7.46,36.7,1
A,2023-11-07,B2,PR-231107-BST-R2,8.1,41.5,1
A,2023-11-07,B3,PR-231107-BST-R3,8.12,44.7,1
A,2023-11-07,B4,PR-231107-BST-R4,7.78,40.9,1
A,2023-11-07,B5,PR-231107-BST-R5,8.31,40.6,1
A,2023-11-07,B6,PR-231107-BST-R6,7.04,43.7,1
B,2023-11-08,DNI-R1,PR-231108-DNI-R1,48.5,8.62,1
B,2023-11-08,DSI-R1,PR-231108-DSI-R1,58,17.8,1
B,2023-11-08,DCS-R1,PR-231108-DCS-R1,65,23.4,1
B,2023-11-08,NEG-R1,PR-231108-NEG-R1,Low OOR,Low OOR,1
B,2023-11-08,BR1,PR-231108-BST-Reg-R1,5.32,51,1
B,2023-11-08,BR2,PR-231108-BST-Reg-R2,5.59,45.1,1
B,2023-11-08,BR3,PR-231108-BST-Reg-R3,4.6,48.6,1
B,2023-11-08,BH1,PR-231108-BST-HCl-R1,7.35,49.7,1
B,2023-11-08,BH2,PR-231108-BST-HCl-R2,9.11,50,1
B,2023-11-08,BH3,PR-231108-BST-HCl-R3,8.08,55,1
A,2023-11-09,N,PR-231109-DNI-R1,39.8,5.95,1
A,2023-11-09,S,PR-231109-DSI-R1,9.42,2.33,1
A,2023-11-09,SS,PR-231109-DCS-R1,21.7,10.6,1
A,2023-11-09,(-),PR-231109-NEG-R1,Low OOR,Low OOR,1
A,2023-11-09,2.1,PR-231109-BST-R1,10.8,33.9,1
A,2023-11-09,2.2,PR-231109-BST-R2,10.8,33.8,1
A,2023-11-09,4.1,PR-231109-BST-R3,9.86,33.6,1
A,2023-11-09,4.2,PR-231109-BST-R4,10.2,40.3,1
A,2023-11-13,N,PR-231113-DNI-R1,40.4,5.14,1
A,2023-11-13,S,PR-231113-DSI-R1,24.4,4.57,1
A,2023-11-13,SS,PR-231113-DCS-R1,40,8.95,1
A,2023-11-13,(-),PR-231113-NEG-R1,Low OOR,Low OOR,1
A,2023-11-13,B1,PR-231113-BST-R1,11.1,22.2,1
A,2023-11-13,B2,PR-231113-BST-R2,11.6,27.4,1
A,2023-11-14,N1,PR-231114-DNI-R1,38.8,6.88,1
A,2023-11-14,N2,PR-231114-DNI-R2,32.7,4.33,1
A,2023-11-14,S1,PR-231114-DSI-R1,36.9,5.78,1
A,2023-11-14,S2,PR-231114-DSI-R2,12.1,2.44,1
A,2023-11-14,SS1,PR-231114-DCS-R1,94,21.4,1
A,2023-11-14,SS2,PR-231114-DCS-R2,36.1,9.42,1
A,2023-11-14,B1,PR-231114-BST-R1,9.07,52,1
A,2023-11-14,B2,PR-231114-BST-R2,9.14,51,1
A,2023-11-14,(-),PR-231114-NEG-R1,Low OOR,Low OOR,1
B,2023-11-15,N1,PR-231115-DNI-R1,High OOR,32,1
B,2023-11-15,N2,PR-231115-DNI-R2,70,11.8,1
B,2023-11-15,S1,PR-231115-DSI-R1,34,6.5,1
B,2023-11-15,S2,PR-231115-DSI-R2,63,14.7,1
B,2023-11-15,P1,PR-231115-DCS-R1,83,34.1,1
B,2023-11-15,P2,PR-231115-DCS-R2,High OOR,39.2,1
B,2023-11-15,Ctl,PR-231115-NEG-R1,Low OOR,Low OOR,1
B,2023-11-15,B1,PR-231115-BST-R1,7.22,High OOR,1
B,2023-11-15,B2,PR-231115-BST-R2,6.94,High OOR,1
B,2023-11-16,N,PR-231116-DNI-R1,98,40.8,1
B,2023-11-16,S,PR-231116-DSI-R1,54,18.5,1
B,2023-11-16,P,PR-231116-DCS-R1,73,31.3,1
B,2023-11-16,Ctl,PR-231116-NEG-R1,Low OOR,Low OOR,1
B,2023-11-17,N,PR-231117-DNI-R1,27.5,6.44,1
B,2023-11-17,S,PR-231117-DSI-R1,38.7,10.7,1
B,2023-11-17,P,PR-231117-DCS-R1,55,17.8,1
B,2023-11-17,BOS1,PR-231117-BST-R1,6.8,High OOR,1
B,2023-11-17,BOS2,PR-231117-BST-R2,7.28,High OOR,1
B,2023-11-17,Ctl,PR-231117-NEG-R1,Low OOR,Low OOR,1
A,2023-11-20,N1,PR-231120-DNI-R1,High OOR,25.7,1
A,2023-11-20,N2,PR-231120-DNI-R2,High OOR,28.4,1
A,2023-11-20,S1,PR-231120-DSI-R1,23.4,6.01,1
A,2023-11-20,S2,PR-231120-DSI-R2,25.9,5.59,1
A,2023-11-20,SS1,PR-231120-DCS-R1,35,11.7,1
A,2023-11-20,SS2,PR-231120-DCS-R2,36.4,18.9,1
A,2023-11-20,B1,PR-231120-BST-R1,5.6,High OOR,1
A,2023-11-20,B2,PR-231120-BST-R2,5.48,High OOR,1
A,2023-11-20,(-),PR-231120-NEG-R1,Low OOR,Low OOR,1
A,2023-11-21,N1,PR-231121-DNI-R1,96,22,1
A,2023-11-21,N2,PR-231121-DNI-R2,85,21.1,1
A,2023-11-21,S1,PR-231121-DSI-R1,65,21.4,1
A,2023-11-21,S2,PR-231121-DSI-R2,68,21.4,1
A,2023-11-21,SS1,PR-231121-DCS-R1,66,26.3,1
A,2023-11-21,SS2,PR-231121-DCS-R2,42.9,17.3,1
A,2023-11-21,B1,PR-231121-BST-R1,9.63,High OOR,1
A,2023-11-21,B2,PR-231121-BST-R2,8.27,High OOR,1
A,2023-11-21,(-),PR-231121-NEG-R1,Low OOR,Low OOR,1
B,2023-11-27,N1,PR-231127-DNI-R1,71,30.4,1
B,2023-11-27,N2,PR-231127-DNI-R2,56,18.3,1
B,2023-11-27,S1,PR-231127-DSI-R1,39.6,13.6,1
B,2023-11-27,S2,PR-231127-DSI-R2,34.7,11.7,1
B,2023-11-27,P1,PR-231127-DCS-R1,44.1,21.1,1
B,2023-11-27,P2,PR-231127-DCS-R2,45.1,24.4,1
B,2023-11-27,B1,PR-231127-BST-R1,7.19,High OOR,1
B,2023-11-27,B2,PR-231127-BST-R2,7.57,High OOR,1
B,2023-11-27,NegCtl,PR-231127-NEG-R1,Low OOR,Low OOR,1
B,2023-11-28,N1,PR-231128-DNI-R1,76,15.5,1
B,2023-11-28,N2,PR-231128-DNI-R2,51,9.75,1
B,2023-11-28,S1,PR-231128-DSI-R1,31.1,14.2,1
B,2023-11-28,S2,PR-231128-DSI-R2,28.2,7,1
B,2023-11-28,P1,PR-231128-DCS-R1,47.3,20.1,1
B,2023-11-28,P2,PR-231128-DCS-R2,39.6,12.1,1
B,2023-11-28,NegCtl,PR-231128-NEG-R1,Low OOR,Low OOR,1
B,2023-11-29,N,PR-231129-DNI-R1,High OOR,26.4,1
B,2023-11-29,S,PR-231129-DSI-R1,99,30.2,1
B,2023-11-29,P,PR-231129-DCS-R1,High OOR,34.1,1
B,2023-11-29,B1,PR-231129-BST-R1,6.74,High OOR,1
B,2023-11-29,B2,PR-231129-BST-R2,8.63,High OOR,1
B,2023-11-29,ctl,PR-231129-NEG-R1,Low OOR,Low OOR,1
A,2023-11-30,N1,PR-231130-DNI-R1,49.3,7.42,1
A,2023-11-30,N2,PR-231130-DNI-R2,47.5,9.26,1
A,2023-11-30,S1,PR-231130-DSI-R1,19.6,8.02,1
A,2023-11-30,S2,PR-231130-DSI-R2,21.4,6.58,1
