processed sample name,aliquot #,aliquot name,sample type,volume initial
PR-231031-DNI-R1,1,PR-231031-DNI-R1-A1,DNI,20
PR-231031-DNI-R1,2,PR-231031-DNI-R1-A2,DNI,15
PR-231031-DNI-R1,3,PR-231031-DNI-R1-A3,DNI,10
PR-231031-DSI-R1,1,PR-231031-DSI-R1-A1,DSI,20
PR-231031-DSI-R1,2,PR-231031-DSI-R1-A2,DSI,15
PR-231031-DSI-R1,3,PR-231031-DSI-R1-A3,DSI,10
PR-231031-DCS-R1,1,PR-231031-DCS-R1-A1,DCS,20
PR-231031-DCS-R1,2,PR-231031-DCS-R1-A2,DCS,15
PR-231031-DCS-R1,3,PR-231031-DCS-R1-A3,DCS,10
PR-231031-NEG-R1,1,PR-231031-NEG-R1-A1,neg,20
PR-231031-NEG-R1,2,PR-231031-NEG-R1-A2,neg,15
PR-231031-NEG-R1,3,PR-231031-NEG-R1-A3,neg,10
PR-231101-DNI-R1,1,PR-231101-DNI-R1-A1,DNI,20
PR-231101-DNI-R1,2,PR-231101-DNI-R1-A2,DNI,15
PR-231101-DNI-R1,3,PR-231101-DNI-R1-A3,DNI,8
PR-231101-DNI-R2,1,PR-231101-DNI-R2-A1,DNI,20
PR-231101-DNI-R2,2,PR-231101-DNI-R2-A2,DNI,15
PR-231101-DNI-R2,3,PR-231101-DNI-R2-A3,DNI,8
PR-231101-DSI-R1,1,PR-231101-DSI-R1-A1,DSI,20
PR-231101-DSI-R1,2,PR-231101-DSI-R1-A2,DSI,15
PR-231101-DSI-R1,3,PR-231101-DSI-R1-A3,DSI,8
PR-231101-DSI-R2,1,PR-231101-DSI-R2-A1,DSI,20
PR-231101-DSI-R2,2,PR-231101-DSI-R2-A2,DSI,15
PR-231101-DSI-R2,3,PR-231101-DSI-R2-A3,DSI,8
PR-231101-DCS-R1,1,PR-231101-DCS-R1-A1,DCS,20
PR-231101-DCS-R1,2,PR-231101-DCS-R1-A2,DCS,15
PR-231101-DCS-R1,3,PR-231101-DCS-R1-A3,DCS,8
PR-231101-DCS-R2,1,PR-231101-DCS-R2-A1,DCS,20
PR-231101-DCS-R2,2,PR-231101-DCS-R2-A2,DCS,15
PR-231101-DCS-R2,3,PR-231101-DCS-R2-A3,DCS,8
PR-231101-NEG-R1,1,PR-231101-NEG-R1-A1,neg,20
PR-231101-NEG-R1,2,PR-231101-NEG-R1-A2,neg,15
PR-231101-NEG-R1,3,PR-231101-NEG-R1-A3,neg,8
PR-231102-DNI-R1,1,PR-231102-DNI-R1-A1,DNI,20
PR-231102-DNI-R1,2,PR-231102-DNI-R1-A2,DNI,15
