processed sample name,date processed,handler,collected sample name,replicate #,# stored aliquots,qPCR,qPCR from aliquot number,notes
PR-231031-DNI-R1,2023-10-31,A,C-231031-DNI-B1,1,3,2023-11-14,3,
PR-231031-DSI-R1,2023-10-31,A,C-231031-DSI-B1,1,3,2023-11-14,3,
PR-231031-DCS-R1,2023-10-31,A,C-231031-DCS-B1,1,3,2023-11-14,3,
PR-231031-NEG-R1,2023-10-31,A,NA,1,3,2023-11-14,3,
PR-231101-DNI-R1,2023-11-01,B,C-231101-DNI-B1,1,3,2023-11-14,3,
PR-231101-DNI-R2,2023-11-01,B,C-231101-DNI-B1,2,3,replicate,NA,
PR-231101-DSI-R1,2023-11-01,B,C-231101-DSI-B1,1,3,2023-11-14,3,
PR-231101-DSI-R2,2023-11-01,B,C-231101-DSI-B1,2,3,replicate,NA,
PR-231101-DCS-R1,2023-11-01,B,C-231101-DCS-B1,1,3,2023-11-14,3,
PR-231101-DCS-R2,2023-11-01,B,C-231101-DCS-B1,2,3,replicate,NA,
PR-231101-NEG-R1,2023-11-01,B,NA,1,,2023-11-14,3,
PR-231102-DNI-R1,2023-11-02,B,C-231102-DNI-B1,1,,2023-11-14,3,
PR-231102-DNI-R2,2023-11-02,B,C-231102-DNI-B1,2,3,replicate,NA,
PR-231102-DSI-R1,2023-11-02,B,C-231102-DSI-B1,1,3,2023-11-14,3,
PR-231102-DSI-R2,2023-11-02,B,C-231102-DSI-B1,2,3,replicate,NA,
PR-231102-DCS-R1,2023-11-02,B,C-231102-DCS-B1,1,3,2023-11-14,3,
PR-231102-DCS-R2,2023-11-02,B,C-231102-DCS-B1,2,3,replicate,NA,
PR-231102-NEG-R1,2023-11-02,B,NA,1,,2023-11-14,3,
PR-231103-DNI-R1,2023-11-03,B,C-231103-DNI-B1,1,3,2023-11-14,3,
PR-231103-DSI-R1,2023-11-03,B,C-231103-DSI-B1,1,3,2023-11-14,3,
PR-231103-DCS-R1,2023-11-03,B,C-231103-DCS-B3,1,3,2023-11-14,3,
PR-231103-NEG-R1,2023-11-03,B,NA,1,,,,
PR-231106-DNI-R1,2023-11-06,B,C-231106-DNI-B1,1,,,,
PR-231106-DSI-R1,2023-11-06,B,C-231106-DSI-B1,1,,,,
PR-231106-DCS-R1,2023-11-06,B,C-231106-DCS-B1,1,,,,
PR-231106-NEG-R1,2023-11-06,B,NA,1,,,,
PR-231107-DNI-R1,2023-11-07,A,C-231107-DNI-B1,1,,,,
PR-231107-DSI-R1,2023-11-07,A,C-231107-DSI-B1,1,,,,
PR-231107-DCS-R1,2023-11-07,A,C-231107-DCS-B1,1,,,,
PR-231107-NEG-R1,2023-11-07,A,NA,1,,,,
PR-231108-DNI-R1,2023-11-08,B,C-231108-DNI-B1,1,,,,
PR-231108-DSI-R1,2023-11-08,B,C-231108-DSI-B1,1,,,,
PR-231108-DCS-R1,2023-11-08,B,C-231108-DCS-B1,1,,,,
PR-231108-NEG-R1,2023-11-08,B,NA,1,,,,
PR-231109-DNI-R1,2023-11-09,A,C-231109-DNI-B1,1,3,,,
PR-231109-DSI-R1,2023-11-09,A,C-231109-DSI-B1,1,3,,,
PR-231109-DCS-R1,2023-11-09,A,C-231109-DCS-B1,1,3,,,
PR-231109-NEG-R1,2023-11-09,A,NA,1,3,,,
PR-231113-DNI-R1,2023-11-13,A,C-231113-DNI-B1,1,3,2023-11-16,3,
PR-231113-DSI-R1,2023-11-13,A,C-231113-DSI-B1,1,3,2023-11-16,3,
PR-231113-DCS-R1,2023-11-13,A,C-231113-DCS-B1,1,3,2023-11-16,3,
PR-231113-NEG-R1,2023-11-13,A,NA,1,3,,,
PR-231113-BST-R1,2023-11-13,A,C-231113-BST-B1,1,3,2023-11-16,3,
PR-231113-BST-R2,2023-11-13,A,C-231113-BST-B1,2,3,2023-11-16,3,
PR-231114-DNI-R1,2023-11-14,A,C-231114-DNI-B1,1,3,2023-11-16,,
PR-231114-DNI-R2,2023-11-14,A,C-231114-DNI-B1,2,3,replicate,NA,
PR-231114-DSI-R1,2023-11-14,A,C-231114-DSI-B1,1,3,2023-11-16,3,
PR-231114-DSI-R2,2023-11-14,A,C-231114-DSI-B1,2,3,replicate,NA,
PR-231114-DCS-R1,2023-11-14,A,C-231114-DCS-B1,1,3,2023-11-16,3,
PR-231114-DCS-R2,2023-11-14,A,C-231114-DCS-B1,2,3,replicate,NA,
PR-231114-NEG-R1,2023-11-14,A,NA,1,3,,,
PR-231114-BST-R1,2023-11-14,A,C-231114-BST-B1,1,3,2023-11-16,3,
PR-231114-BST-R2,2023-11-14,A,C-231114-BST-B1,2,3,2023-11-16,3,
PR-231115-DNI-R1,2023-11-15,B,C-231115-DNI-B1,1,3,2023-11-16,3,
PR-231115-DNI-R2,2023-11-15,B,C-231115-DNI-B1,2,3,replicate,NA,
PR-231115-DSI-R1,2023-11-15,B,C-231115-DSI-B1,1,3,2023-11-16,3,
PR-231115-DSI-R2,2023-11-15,B,C-231115-DSI-B1,2,3,replicate,NA,
PR-231115-DCS-R1,2023-11-15,B,C-231115-DCS-B1,1,3,2023-11-16,3,
PR-231115-DCS-R2,2023-11-15,B,C-231115-DCS-B1,2,3,replicate,NA,
PR-231115-NEG-R1,2023-11-15,B,NA,1,3,,,
PR-231115-BST-R1,2023-11-15,B,C-231115-BST-B1,1,3,2023-11-16,3,
PR-231115-BST-R2,2023-11-15,B,C-231115-BST-B1,2,3,2023-11-16,3,
PR-231116-DNI-R1,2023-11-16,B,C-231116-DNI-B1,1,3,2023-12-08,3,
PR-231116-DSI-R1,2023-11-16,B,C-231116-DSI-B1,1,3,2023-12-08,3,
PR-231116-DCS-R1,2023-11-16,B,C-231116-DCS-B1,1,3,2023-12-08,3,
PR-231116-NEG-R1,2023-11-16,B,NA,1,3,2023-12-08,3,
PR-231117-DNI-R1,2023-11-17,B,C-231117-DNI-B1,1,3,2023-12-08,3,
PR-231117-DSI-R1,2023-11-17,B,C-231117-DSI-B1,1,3,2023-12-08,3,
PR-231117-DCS-R1,2023-11-17,B,C-231117-DCS-B1,1,3,2023-12-08,3,
PR-231117-NEG-R1,2023-11-17,B,NA,1,3,2023-12-08,3,
PR-231117-BST-R1,2023-11-17,B,C-231117-BST-B1,1,3,2023-12-08,3,
PR-231117-BST-R2,2023-11-17,B,C-231117-BST-B1,2,3,replicate,NA,
PR-231120-DNI-R1,2023-11-20,A,C-231120-DNI-B1,1,3,2023-12-08,3,
PR-231120-DNI-R2,2023-11-20,A,C-231120-DNI-B1,2,3,replicate,NA,
PR-231120-DSI-R1,2023-11-20,A,C-231120-DSI-B1,1,3,2023-12-08,3,
PR-231120-DSI-R2,2023-11-20,A,C-231120-DSI-B1,2,3,replicate,NA,
PR-231120-DCS-R1,2023-11-20,A,C-231120-DCS-B1,1,3,2023-12-08,3,
PR-231120-DCS-R2,2023-11-20,A,C-231120-DCS-B1,2,3,replicate,NA,
PR-231120-NEG-R1,2023-11-20,A,NA,1,3,2023-12-08,3,
PR-231120-BST-R1,2023-11-20,A,C-231120-BST-B1,1,3,2023-12-08,3,
PR-231120-BST-R2,2023-11-20,A,C-231120-BST-B1,2,3,replicate,NA,
PR-231121-DNI-R1,2023-11-21,A,C-231121-DNI-B1,1,3,2023-12-08,3,
PR-231121-DNI-R2,2023-11-21,A,C-231121-DNI-B1,2,3,replicate,NA,
PR-231121-DSI-R1,2023-11-21,A,C-231121-DSI-B1,1,3,2023-12-08,3,
PR-231121-DSI-R2,2023-11-21,A,C-231121-DSI-B1,2,3,replicate,NA,
PR-231121-DCS-R1,2023-11-21,A,C-231121-DCS-B1,1,3,2023-12-08,3,
PR-231121-DCS-R2,2023-11-21,A,C-231121-DCS-B1,2,3,replicate,NA,
PR-231121-NEG-R1,2023-11-21,A,NA,1,3,2023-12-08,3,
PR-231121-BST-R1,2023-11-21,A,C-231121-BST-B1,1,3,2023-12-08,3,
PR-231121-BST-R2,2023-11-21,A,C-231121-BST-B1,2,3,replicate,NA,
PR-231122-DNI-R1,2023-11-22,A,C-231122-DNI-B1,1,3,2023-12-08,,
PR-231122-DSI-R1,2023-11-22,A,C-231122-DSI-B1,1,3,2023-12-08,,
PR-231122-DCS-R1,2023-11-22,A,C-231122-DCS-B1,1,3,2023-12-08,,
PR-231122-NEG-R1,2023-11-22,A,NA,1,3,2023-12-08,,
PR-231127-DNI-R1,2023-11-27,B,C-231127-DNI-B1,1,3,2023-12-19,3,
PR-231127-DNI-R2,2023-11-27,B,C-231127-DNI-B1,2,3,replicate,NA,
