submitted sample name,source aliquot,sequencing experiment name,date prepared,date submitted,location,preparation treatment ,material submitted,original concentration (ng/uL),concentration relative to original,volume submitted (uL),concentration submitted (ng/uL),total submitted (ng),library preparation abbrev,library preparation method
12-05-BST-deplete,PR-231205-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,7.42,0.5,15,3.71,55.65,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-05-DCS-deplete,PR-231205-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,190,0.5,15,95,1425,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-05-DNI-deplete,PR-231205-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,204,0.5,15,102,1530,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-05-DSI-deplete,PR-231205-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,54.6,0.5,15,27.3,409.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-08-BST-deplete,PR-231208-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,16.4,0.5,15,8.2,123,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-08-DCS-deplete,PR-231208-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,80.2,0.5,15,40.1,601.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-08-DNI-deplete,PR-231208-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,82,0.5,15,41,615,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-08-DSI-deplete,PR-231208-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,57.8,0.5,15,28.9,433.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-12-BST-deplete,PR-231212-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,5.18,0.5,15,2.59,38.85,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-12-DCS-deplete,PR-231212-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,80.2,0.5,15,40.1,601.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-12-DNI-deplete,PR-231212-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,34.4,0.5,15,17.2,258,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-12-DSI-deplete,PR-231212-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,69,0.5,15,34.5,517.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-15-BST-deplete,PR-231215-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,11.1,0.5,15,5.55,83.25,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-15-DCS-deplete,PR-231215-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,172,0.5,15,86,1290,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-15-DNI-deplete,PR-231215-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,84.2,0.5,15,42.1,631.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-15-DSI-deplete,PR-231215-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,60.2,0.5,15,30.1,451.5,NEB Ultra II Ribodeplete,NEBNext Ultra II Directional RNA Library Prep Kit with NEBNext rRNA Depletion Kit (Bacteria)
12-05-BST-nodeplete,PR-231205-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,7.42,0.5,15,3.71,55.65,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-05-DCS-nodeplete,PR-231205-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,190,0.5,15,95,1425,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-05-DNI-nodeplete,PR-231205-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,204,0.5,15,102,1530,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-05-DSI-nodeplete,PR-231205-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,54.6,0.5,15,27.3,409.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-08-BST-nodeplete,PR-231208-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,16.4,0.5,15,8.2,123,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-08-DCS-nodeplete,PR-231208-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,80.2,0.5,15,40.1,601.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-08-DNI-nodeplete,PR-231208-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,82,0.5,15,41,615,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-08-DSI-nodeplete,PR-231208-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,57.8,0.5,15,28.9,433.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-12-BST-nodeplete,PR-231212-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,5.18,0.5,15,2.59,38.85,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-12-DCS-nodeplete,PR-231212-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,80.2,0.5,15,40.1,601.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-12-DNI-nodeplete,PR-231212-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,34.4,0.5,15,17.2,258,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-12-DSI-nodeplete,PR-231212-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,69,0.5,15,34.5,517.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-15-BST-nodeplete,PR-231215-BST-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,11.1,0.5,15,5.55,83.25,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-15-DCS-nodeplete,PR-231215-DCS-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,172,0.5,15,86,1290,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-15-DNI-nodeplete,PR-231215-DNI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,84.2,0.5,15,42.1,631.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
12-15-DSI-nodeplete,PR-231215-DSI-R1-A1,DepletionExperiment,2024-02-09,2024-02-16,submitted to BMC,DNase I,total RNA,60.2,0.5,15,30.1,451.5,NEB Ultra II RNAseq,NEBNext Ultra II Directional RNA Library Prep Kit
